country,year,week,cases_by_week,deaths_by_week
ETHIOPIA,2024,30,0.0,0.0
ETHIOPIA,2023,31,783.0,2.0
ETHIOPIA,2024,31,863.0,13.0
ETHIOPIA,2023,32,990.0,17.0
ETHIOPIA,2024,32,772.0,10.0
ETHIOPIA,2023,33,838.0,40.0
ETHIOPIA,2023,34,857.0,0.0
ETHIOPIA,2023,35,830.0,7.0
ETHIOPIA,2023,36,896.0,0.0
ETHIOPIA,2023,37,1095.0,16.0
ETHIOPIA,2023,38,856.0,19.0
ETHIOPIA,2023,39,604.0,46.0
ETHIOPIA,2023,40,593.0,0.0
ETHIOPIA,2023,41,454.0,0.0
ETHIOPIA,2023,42,508.0,10.0
ETHIOPIA,2023,43,407.0,0.0
ETHIOPIA,2023,44,750.0,14.0
ETHIOPIA,2023,45,416.0,10.0
ETHIOPIA,2023,46,458.0,11.0
ETHIOPIA,2023,47,723.0,12.0
ETHIOPIA,2023,48,393.0,7.0
ETHIOPIA,2023,49,352.0,3.0
ETHIOPIA,2023,50,564.0,21.0
ETHIOPIA,2023,51,367.0,23.0
ETHIOPIA,2023,52,,44.0
HAITI,2023,1,2702.0,87.0
HAITI,2024,1,486.0,5.0
HAITI,2023,2,254.0,4.0
HAITI,2024,2,1961.0,8.0
HAITI,2023,3,1175.0,28.0
HAITI,2023,4,1984.0,15.0
HAITI,2024,4,225.0,0.0
HAITI,2023,5,1538.0,49.0
HAITI,2023,6,1868.0,0.0
HAITI,2024,6,0.0,0.0
HAITI,2023,7,1644.0,34.0
HAITI,2023,8,1353.0,0.0
HAITI,2023,9,823.0,0.0
HAITI,2023,10,1444.0,0.0
HAITI,2023,11,1314.0,37.0
HAITI,2023,12,350.0,9.0
HAITI,2023,13,877.0,4.0
HAITI,2023,14,440.0,6.0
HAITI,2023,15,0.0,0.0
HAITI,2023,16,0.0,0.0
HAITI,2023,17,0.0,0.0
HAITI,2023,18,2464.0,22.0
HAITI,2023,19,0.0,0.0
HAITI,2023,20,2395.0,31.0
HAITI,2023,21,0.0,0.0
HAITI,2023,22,1731.0,14.0
HAITI,2023,23,572.0,9.0
HAITI,2023,24,1702.0,19.0
HAITI,2023,25,3449.0,20.0
HAITI,2023,26,0.0,0.0
HAITI,2023,27,1622.0,3.0
HAITI,2023,28,1189.0,11.0
HAITI,2023,29,1537.0,14.0
HAITI,2023,30,1833.0,21.0
HAITI,2023,31,0.0,0.0
HAITI,2023,32,1650.0,9.0
HAITI,2023,33,1049.0,3.0
HAITI,2023,34,0.0,0.0
HAITI,2023,36,2491.0,29.0
HAITI,2023,38,1293.0,24.0
HAITI,2023,39,540.0,27.0
HAITI,2023,40,1985.0,25.0
HAITI,2023,42,1355.0,70.0
HAITI,2023,44,2188.0,52.0
HAITI,2023,45,2139.0,13.0
HAITI,2023,47,1368.0,34.0
HAITI,2023,50,3672.0,54.0
HAITI,2023,51,365.0,2.0
INDIA,2024,1,99.0,1.0
INDIA,2024,2,41.0,0.0
INDIA,2024,3,0.0,0.0
INDIA,2023,4,6.0,0.0
INDIA,2024,4,0.0,0.0
INDIA,2023,5,0.0,0.0
INDIA,2024,5,129.0,0.0
INDIA,2023,6,0.0,0.0
INDIA,2024,6,0.0,0.0
INDIA,2023,7,0.0,0.0
INDIA,2024,7,0.0,0.0
INDIA,2023,8,0.0,0.0
INDIA,2024,8,20.0,0.0
INDIA,2023,9,52.0,0.0
INDIA,2024,9,216.0,0.0
INDIA,2023,10,0.0,0.0
INDIA,2024,10,72.0,0.0
INDIA,2023,11,0.0,0.0
INDIA,2024,11,355.0,1.0
INDIA,2023,12,0.0,0.0
INDIA,2024,12,162.0,0.0
INDIA,2023,13,0.0,0.0
INDIA,2024,13,88.0,0.0
INDIA,2023,14,10.0,0.0
INDIA,2024,14,50.0,1.0
INDIA,2023,15,0.0,0.0
INDIA,2024,15,47.0,1.0
